Código de Conexión,Equipo,Tipo de la observación,Fecha de la Observación,Código de la observación,Lectura de contador,Toda la lectura de contador del tiempo,Edad componente,Intervalo de la observación,días,Valoración de la Observación,Grado de Trakka,Edad del lubricante,Uso,Lubricante drenado,Agredado,Valoración del Estado Asignada,Notas sobre la Revisión del Estado,Otras recomendaciones,Efecto de Falla,Revisado,Revisor,Resumen de la Acción,Boro (ppm),Calcio (ppm),Cinc (ppm),Fosforado (ppm),Magnesio (ppm),Molibdeno (ppm),Agua (%),Nitración JOAP (Abs/cm),Oxidación JOAP (Abs/cm),Silicio (ppm),Sodio (ppm),Sulfatación JOAP (Abs/cm),Viscosidad @ 100°C (cSt),ISO 4406:1999 > 04µ,ISO 4406:1999 > 06µ,ISO 4406:1999 > 14µ,Aluminio (ppm),Cobre (ppm),Cromo (ppm),Hierro (ppm),Plomo (ppm),Bario (ppm),Cadmio (ppm),Estaño (ppm),Niquel (ppm),Fecha Calculada,Año,Mes,Flota
0060138 ZSHI,60138,Análisis flúido,16/08/2026,0060138 ZSHI 20260816,"38864,54","38926,14","38926,14","439,9",29,Normal,Crítico,,"38926,14",No,0,Crítico,"Los predictores del codigo ISO de limpieza estan en rango critico .  Asistente, abre una OT tipo TR P2 con las siguientes recomendaciones   1. Cambio del aceite hidraulico   2.  Cambie los desfogues del tanque hidráulico.  3. Cambie los filtros del sistema (By pass, flujo pleno, piloto, drenaje y alta eficiencia).  ",,,18/08/2026 11:24:56 a. m.,jbenitez2,,,"77,76","52,34","114,72",,"2,11",,,,"27,94",,,"9,85",23,20,15,"10,75","7,25","1,12","30,55",0,,,,,16/08/2026,2026,08,EX3600
0060138 ZSHI,60138,Análisis flúido,18/07/2026,0060138 ZSHI 20260718,"38424,64","38486,24","38486,24",458,28,Normal,Crítico,,"38486,24",No,0,Crítico,"Los predictores del codigo ISO de limpieza estan en rango de critico.  Asistente, abre una OT tipo TR P1 con las siguientes recomendaciones   1.  Cambie los desfogues del tanque hidráulico.  2. Cambie los filtros del sistema (By pass, flujo pleno, piloto, drenaje y alta eficiencia).  ",,Alto conteo de partículas,21/07/2026 4:26:36 p. m.,jbenitez2,,,"39,14","37,76","121,16",,"0,84",,,,"14,7",,,,24,22,20,"6,41","5,11","0,71","16,5","0,04",,,,,18/07/2026,2026,07,EX3600
0060138 ZSHI,60138,Análisis flúido,20/06/2026,0060138 ZSHI 20260620,"37966,64","38028,24","38028,24","489,2",32,Normal,Crítico,,"38028,24",No,0,Advertencia,"Los predictores del codigo ISO de limpieza estan en rango de advertencia.  Asistente, abre una OT tipo TR P3 con las siguientes recomendaciones y enventanarla el 12/7/2026   1.  Cambie los desfogues del tanque hidráulico.  2. Cambie los filtros del sistema (By pass, flujo pleno, piloto, drenaje y alta eficiencia).  ",,Alto conteo de partículas,22/06/2026 10:25:21 a. m.,jbenitez2,,,"89,62","47,67","136,54",,"0,79",,3,21,"10,04",,28,"10,05",22,20,16,"6,49","5,78","0,91","12,31",0,,,,,20/06/2026,2026,06,EX3600
0060138 ZSHI,60138,Análisis flúido,19/05/2026,0060138 ZSHI 20260519,"37477,44","37539,04","37539,04","472,5",30,Normal,Crítico,,"37539,04",No,0,Advertencia,"Los predictores del codigo ISO de limpieza estan en rango de advertencia.  Asistente, abre una OT tipo TR P2 con las siguientes recomendaciones y enventanarla el 7/6/2026   1.  Cambie los desfogues del tanque hidráulico.  2. Cambie los filtros del sistema (By pass, flujo pleno, piloto, drenaje y alta eficiencia).",,Altos metales de desgaste,25/05/2026 10:18:50 a. m.,jbenitez2,,,"93,49","31,96","104,5",,"0,18",,3,22,"5,32",,28,"9,96",22,18,15,"3,59","6,67","0,54","5,85","0,79",,,,,19/05/2026,2026,05,EX3600
0060138 ZSHI,60138,Análisis flúido,19/04/2026,0060138 ZSHI 20260419,"37004,94","37066,54","37066,54","473,4",30,Normal,Crítico,,"37066,54",No,0,Advertencia,"Los predictores del codigo ISO de limpieza estan en rango de critico.  Asistente, abre una OT tipo TR P2 con las siguientes recomendaciones    1.  Cambie los desfogues del tanque hidráulico.  2. Cambie los filtros del sistema (By pass, flujo pleno, piloto, drenaje y alta eficiencia).",,Alto conteo de partículas,21/04/2026 7:57:35 a. m.,jbenitez2,,,"83,88","52,45","137,31",,"0,26",,2,21,"1,27",,28,"10,3",21,19,15,"1,65","9,61","0,04","2,63",0,,,,,19/04/2026,2026,04,EX3600
0060138 ZSHI,60138,Análisis flúido,20/03/2026,0060138 ZSHI 20260320,"36531,54","36593,14","36593,14","453,4",57,Normal,Crítico,,"36593,14",No,0,Normal,ACTUALMENTE SE LE ESTA CAMBIANDO FILTRACION HIDRAULICA,,Ninguna falla identificada,25/03/2026 1:37:52 p. m.,jbenitez2,,,"113,62","49,84","82,45",,"0,02",,2,21,"2,71",,28,"10,457",17,16,13,"2,17","26,02","0,31","3,79",0,,,,,20/03/2026,2026,03,EX3600
0060138 ZSHI,60138,Análisis flúido,22/01/2026,0060138 ZSHI 20260122,"36078,14","36139,74","36139,74","364,1",24,Normal,Crítico,,"36139,74",No,0,Normal,"ACEITE NUEVO, SE TOMARA CONTRAMUESTRA",,Ninguna falla identificada,26/01/2026 6:35:46 a. m.,jbenitez2,,,"88,5","28,65","115,72",,"0,54",,,,"4,37",,,"10,22",21,19,14,"2,95","2,81","0,86","6,73","0,66",,,,,22/01/2026,2026,01,EX3600
0060138 ZSHI,60138,Análisis flúido,29/12/2025,0060138 ZSHI 20251229,"35714,04","35775,64","35775,64","153,8",9,Normal,Crítico,,"35775,64",No,0,Normal,ACTUALMENTE SE ESTA CAMBIANDO EL ACEITE HIDRAULICO ,,Ninguna falla identificada,6/01/2026 8:51:25 a. m.,jbenitez2,,,"138,45","71,41","151,1",,"0,65",,,,"6,75",,,"10,6",20,18,14,"3,79","7,33","2,32","11,64","0,1",,,,,29/12/2025,2025,12,EX3600
0060138 ZSHI,60138,Análisis flúido,20/12/2025,0060138 ZSHI 20251220,"35560,24","35621,84","35621,84","473,3",32,Normal,Crítico,,"35621,84",No,0,Advertencia,"Los predictores del codigo ISO de limpieza estan en rango de advertencia.  Asistente, abre una OT tipo TR P3 con las siguientes recomendaciones Y enventanarla en el evento del dia 4/1/2026 .  1.  Cambie los desfogues del tanque hidráulico.  2. Cambie los filtros del sistema (By pass, flujo pleno, piloto, drenaje y alta eficiencia)  Pedir el elemento filtrante STOCK: 483074 cant 6 se debe solicitar este filtro de flujo pleno.  ",,Altos metales de desgaste,23/12/2025 8:24:54 a. m.,jbenitez2,,,"73,01","13,58","108,25",,"0,11",,2,21,"1,73",,28,"11,026",23,22,19,"0,42","0,16",0,"0,48","0,05",,,,,20/12/2025,2025,12,EX3600
0060138 ZSHI,60138,Análisis flúido,18/11/2025,0060138 ZSHI 20251118,"35086,94","35148,54","35148,54","450,9",32,Normal,Crítico,,"35148,54",No,0,Normal,SE TOMARA CONTRAMUESTRA PARA VERIFICAR TENDENICA,,Alto conteo de partículas,6/01/2026 7:59:56 a. m.,jbenitez2,,,"154,79","86,85","151,78",,"0,39",,3,20,"5,68",,27,"10,042",23,21,17,"2,91","9,34","4,22","11,04","0,93",,,,,18/11/2025,2025,11,EX3600
