Período,Fecha,Año,Mes,Codex,Fecha Montaje,Equipo/EGI,No Componente,Tipo De Componente,Cod Comp,Mod,Stock Code,Equipo,OT Defitment,Orig Doc No,Horas del Comp. en la posición,Vida Media,Uso Vida Media,Intervalo de horas,Procedencia,Fecha Calculada,Flota
202001,20200104,2020,01,,20181128,HITA-EX5600 ,006MEHF119  ,MTR ENFRIADOR HCO FRONT                 ,MENH,F ,003076296,60119,00813666,SH143685            ,"6277,69",24000,"0,2615704167",6000-12000,Nuevo,4/01/2020,EX5500
202001,20200104,2020,01,,20181128,HITA-EX5600 ,006MEHT119  ,MTR ENFRIADOR HCO TRAS                  ,MENH,T ,003076296,60119,00813667,SH143686            ,"6277,69",24000,"0,2615704167",6000-12000,Nuevo,4/01/2020,EX5500
202001,20200105,2020,01,,20190809,HITA3600-6  ,006BMLG140  ,"BOMBA DE LUBRICACION DE GRASA ,POSICION ",BMLG,01,003886553,60140,SH146199,LUBCW-BOMGR-DANAD-/ ,"2109,54",8000,"0,2636925",0-6000,Nuevo,5/01/2020,EX3600
202001,20200106,2020,01,,20170610,HITA3600-6  ,006ENCM137  ,ENFRIADOR DE COMBUSTIBLE                ,ENCM,  ,         ,60137,SH146655,                    ,"14333,67",24000,"0,59723625",12000-18000,Nuevo,6/01/2020,EX3600
202001,20200108,2020,01,,20170925,HITA3600-6  ,006ENCM136  ,ENFRIADOR DE COMBUSTIBLE                ,ENCM,  ,         ,60136,00814808,SH146485            ,"12817,52",24000,"0,5340633333",12000-18000,Nuevo,8/01/2020,EX3600
202001,20200113,2020,01,HCO,20180621,HITA3600-6  ,006MGTI135  , MOTOR HCO DE GIRO TRAS IZQ             ,MGIR,IT,003178910,60135,00815045,SH147222            ,"8773,28",12000,"0,7311066667",6000-12000,Nuevo,13/01/2020,EX3600
202001,20200115,2020,01,HCO,20180618,HITA3600-6  ,00671653    ,CILINDRO EMPUJE HITACHI EX-3600         ,CEMP,I ,003189974,60133,00815189,536214              ,"8815,91",14000,"0,6297078571",6000-12000,Interno,15/01/2020,EX3600
202001,20200116,2020,01,HCO,20191115,HITA EX5500 ,00672111    ,CILINDRO DE CUCHARÓN HITACHI EX5500     ,CCUC,I ,003075520,60118,00815092,536139              ,"1017,57",10000,"0,101757",0-6000,Nuevo,16/01/2020,EX5500
202001,20200117,2020,01,,20171110,HITA3600-6  ,006BHDP137  ,Bomba de pilotaje                       ,BPIL,  ,003179249,60137,00815082,                    ,"12306,58",20000,"0,615329",12000-18000,Nuevo,17/01/2020,EX3600
202001,20200118,2020,01,,20170622,HITA3600-6  ,00685137    ,SPROCKET PALAS  HITACHI EX-3600         ,SPRK,D ,001611375,60137,00805830,536215              ,"14496,41",18000,"0,8053561111",12000-18000,Interno,18/01/2020,EX3600
202001,20200121,2020,01,,20170502,HITA3600-6  ,006EACB135  , ENFRIADOR DE ACEITE CAJA BBAS          ,EACB,  ,         ,60135,00815242,                    ,"15004,94",24000,"0,6252058333",12000-18000,Nuevo,21/01/2020,EX3600
202001,20200121,2020,01,HCO,20181128,HITA-EX5600 ,00673119I   ,CILINDRO APERTURA CUCHARON  HITA-5500   ,CACU,I ,003075538,60119,00812695,536281              ,"6545,85",8000,"0,81823125",6000-12000,Nuevo,21/01/2020,EX5500
